Rank,Symbol,Company,Theme,Price,Change($),Change(%),Volume,Dollar Volume,RVOL 20D,Catalyst Type,Catalyst Summary,Catalyst Score,Catalyst Confidence,Market Cap,Enterprise Value,PS Ratio,Forward PE,PEG Ratio,Rev Growth YoY,EPS Growth YoY,Gross Margin,Operating Margin,FCF Margin,Analyst Rating,Analyst Count,Buy Count,Hold Count,Sell Count,Target Low,Target Avg,Target High,Implied Upside %,Next FY Revenue Estimate,Next FY Revenue Growth Estimate,Next FY EPS Estimate,Next FY EPS Growth Estimate,Estimate Revision Trend,50-Day MA,200-Day MA,Price vs 50D MA %,Price vs 200D MA %,Dist 52W High %,RSI 14,ATR 14 %,Float Shares,Short % Float,Recent Offering,Dilution Risk,Low Float,Growth Score,Quality Score,Momentum Score,Valuation Score,Liquidity Score,Risk Score,Final Score,Support Price,Stop Review Price,Hold Zone Low,Hold Zone High,Trim / Partial Sell Price,Stretch Sell Price,Price Level Basis,Growth Analyst Note,Growth Analyst Confidence,Growth Analyst Reason,Momentum Analyst Note,Momentum Analyst Confidence,Momentum Analyst Reason,Valuation Analyst Note,Valuation Analyst Confidence,Valuation Analyst Reason,Risk Analyst Note,Risk Analyst Confidence,Risk Analyst Reason,PM Verdict,PM Confidence,PM Reason,Recommendation,Confidence 1-5,Next Research Step,Data Quality Notes,Analyst Data Quality,Input Source,Run Timestamp
11,AXTI,AXT Inc,N/A,112.88,7.0,6.6112585,9570059,1080.27M,0.78,earnings,"AXT, Inc. Announces Financial Conference Participation for the Second Quarter 2026 | AXT Turned the AI Data Center Boom Into an 8,436% 1-Year Return | AXT Inc. (AXTI) Soars 7.6% on Bargain-Hunting",4,High,7384968704,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,74.95,28.24,50.6,299.7,-15.8,70.0,14.0,N/A,N/A,Unknown,Unknown,False,45,45,58,45,50,36,50.4,81.27,73.37,81.27,144.49,134.06,191.90,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 6.6112585 with RVOL 0.78 and RSI 70.0.,3,"Momentum score 58 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 36 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
12,HIMX,"Himax Technologies, Inc.",N/A,19.29,1.1900005,6.5745883,5708449,110.12M,0.95,sector_move,"Asian Equities Traded in the US as American Depositary Receipts Fall Sharply in Friday Trading | Himax (HIMX) Shares Skyrocket, What You Need To Know | Assessing Himax Technologies (NasdaqGS:HIMX) Valuation After A Strong Share Price Surge",2,Low,3364676096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,11.53,9.06,67.3,112.9,-11.5,72.3,11.1,N/A,N/A,Unknown,Unknown,False,45,45,59,45,50,38,50.4,15.01,13.94,15.01,23.57,21.80,30.00,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 6.5745883 with RVOL 0.95 and RSI 72.3.,3,"Momentum score 59 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 38 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
13,IPGP,IPG Photonics Corporation,N/A,113.33,6.9800034,6.563238,627717,71.14M,0.95,sector_move,"Teradyne, Kulicke and Soffa, Impinj, Microchip Technology, and IPG Photonics Shares Plummet, What You Need To Know | Skyworks Solutions, IPG Photonics, and Lam Research Shares Are Soaring, What You Need To Know | Microchip Technology, NXP Semiconductors, Impinj, IPG Photonics, and Analog Devices Shares Are Falling, What You Need To Know",2,Low,4810135040,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,115.66,95.18,-2.0,19.1,-27.3,50.0,7.5,N/A,N/A,Unknown,Unknown,False,45,45,22,45,50,24,43.6,96.33,92.08,96.33,130.33,155.89,155.83,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 6.563238 with RVOL 0.95 and RSI 50.0.,2,"Momentum score 22 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 24 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
14,CENX,Century Aluminum Company,N/A,58.44,3.5200005,6.409324,1646713,96.23M,1.14,earnings,"Aluminum Prices Have Surged Nearly 90% Since the Iran War Began, and Kiplinger Says Your Portfolio Should Respond | Will Century Aluminum's (CENX) Strong Q1 Profit and Smelter Restarts Reshape Its Investment Narrative? | Century Aluminum (CENX) Reports Q1 Adjusted EPS",4,High,5784043008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,59.09,40.72,-1.1,43.5,-14.9,49.0,6.6,N/A,N/A,Unknown,Unknown,False,45,45,23,45,50,24,43.9,50.73,48.80,50.73,66.15,68.67,77.73,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 6.409324 with RVOL 1.14 and RSI 49.0.,2,"Momentum score 23 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 24 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
15,OPCH,"Option Care Health, Inc.",N/A,20.86,1.1700001,5.942103,6533031,136.28M,1.40,earnings,Independent Director of Option Care Health Picks Up 49% More Stock | A Director Keeps Buying OPCH as It Falls — and the Timing Is His Own | A Look At Option Care Health (OPCH) Valuation After Guidance Cut And Legal Investigations,4,High,3275593728,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,26.12,29.33,-20.2,-28.9,-43.3,26.1,7.1,N/A,N/A,Unknown,Unknown,False,45,45,2,45,50,24,39.2,17.90,17.16,17.90,23.82,36.79,28.27,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.942103 with RVOL 1.40 and RSI 26.1.,2,"Momentum score 2 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 24 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
16,NN,NextNav Inc.,N/A,22.82,1.2299995,5.6970797,2780334,63.45M,0.89,earnings,NextNav Demonstrates Exceptional First-Ever Wireless Indoor Timing Solution for Critical Infrastructure | Assessing NextNav (NN) Valuation As Shares Trade Near Fair Value Estimate | NextNav Inc (NN) Q1 2026 Earnings Call Highlights: Strategic Advances Amid Regulatory Challenges,4,High,3113490944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,18.32,15.93,24.6,43.2,-5.7,77.0,5.7,N/A,N/A,Unknown,Unknown,False,45,45,53,45,50,42,48.7,20.22,19.57,20.22,25.42,24.20,29.32,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.6970797 with RVOL 0.89 and RSI 77.0.,3,"Momentum score 53 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,Risk flags: overbought RSI.,3,"Risk score 42 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
17,WAY,Waystar Holding Corp.,N/A,19.60,1.0500011,5.6603837,3071315,60.20M,1.11,guidance,"AI Is Coming for Pharmacy Benefit Managers: Potential Winners and Losers | Waystar Authorizes $200 Million Share Repurchase Program | Waystar Announces $200 Million Share Repurchase Authorization, Reflecting Confidence in Long-Term Outlook",4,High,3759532800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,23.07,30.88,-15.0,-36.5,-52.8,26.9,7.2,N/A,N/A,Unknown,Unknown,False,45,45,3,45,50,24,39.5,16.78,16.07,16.78,22.42,41.53,26.66,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.6603837 with RVOL 1.11 and RSI 26.9.,2,"Momentum score 3 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 24 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
18,CORT,Corcept Therapeutics Incorporat,N/A,58.22,3.1000023,5.6240973,1422621,82.82M,1.17,sector_move,3 Promising Growth Stocks With Insider Ownership Up To 22% | Wall Street Analysts Believe Corcept (CORT) Could Rally 43.32%: Here's is How to Trade | Duos Technologies Group And 2 Insider Picks For High Growth Potential,2,Low,6250009600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,43.77,59.77,33.0,-2.6,-36.0,75.2,4.6,N/A,N/A,Unknown,Unknown,False,45,45,57,45,50,40,49.7,52.86,51.52,52.86,63.58,90.97,71.61,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.6240973 with RVOL 1.17 and RSI 75.2.,3,"Momentum score 57 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,Risk flags: overbought RSI.,3,"Risk score 40 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
19,SIMO,Silicon Motion Technology Corpo,N/A,252.92,13.160004,5.488824,1919642,485.52M,1.51,sector_move,"The AI Stock That Could Turn a $10,000 Investment Into a Retirement-Changing Sum by 2030 | Silicon Motion Technology Corporation (SIMO) Is a Trending Stock: Facts to Know Before Betting on It | Silicon Motion to Attend Upcoming Investor Conferences",2,Low,8575969792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,162.46,114.35,55.7,121.2,-7.7,64.6,8.4,N/A,N/A,Unknown,Unknown,False,45,45,57,45,50,32,50.5,210.43,199.81,210.43,295.41,274.02,359.15,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.488824 with RVOL 1.51 and RSI 64.6.,3,"Momentum score 57 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 32 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
20,LQDA,Liquidia Corporation,N/A,59.98,3.0099983,5.283479,1575360,94.49M,1.03,sector_move,"FDA Accepts Viatris' NDA for Fast-Acting Non-Opioid Pain Therapy | Liquidia Insider Sold Shares Worth $4,298,765, According to a Recent SEC Filing | Need To Know: Analysts Are Much More Bullish On Liquidia Corporation (NASDAQ:LQDA)",2,Low,5333906944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,40.69,32.82,47.4,82.8,-0.9,88.0,6.1,N/A,N/A,Unknown,Unknown,False,45,45,67,45,50,49,51.0,52.66,50.83,52.66,67.30,60.52,78.27,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.283479 with RVOL 1.03 and RSI 88.0.,4,"Momentum score 67 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,Risk flags: overbought RSI.,3,"Risk score 49 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
21,BEKE,KE Holdings Inc,N/A,18.72,0.92,5.16854,9066568,169.73M,1.91,earnings,KE Holdings Inc (BEKE) Q1 2026 Earnings Call Highlights: Navigating Revenue Declines with ... | KE Q1 Earnings Call Highlights | KE Holdings Inc. Announces First Quarter 2026 Unaudited Financial Results,4,High,20041572352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,16.59,17.45,12.8,7.3,-10.8,65.9,4.3,N/A,N/A,Unknown,Unknown,False,45,45,44,45,50,33,47.6,17.45,16.71,17.45,20.33,20.99,22.74,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.16854 with RVOL 1.91 and RSI 65.9.,2,"Momentum score 44 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 33 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
22,ACMR,"ACM Research, Inc.",N/A,66.45,3.199997,5.0592837,1757384,116.78M,1.16,earnings,"Triata Capital Exits ACM Research Position, According to Recent SEC Filing | ACM Research Is One of the Best Small Cap AI Stocks As Per Wall Street, Here’s Why | Why ACM Research's (NASDAQ:ACMR) Shaky Earnings Are Just The Beginning Of Its Problems",4,High,4592325120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,50.32,43.23,32.0,53.7,-7.3,83.0,7.6,N/A,N/A,Unknown,Unknown,False,45,45,62,45,50,47,50.1,56.35,53.82,56.35,76.55,71.68,91.70,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.0592837 with RVOL 1.16 and RSI 83.0.,3,"Momentum score 62 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,Risk flags: overbought RSI.,3,"Risk score 47 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
23,NYAX,Nayax Ltd.,N/A,67.00,3.2200012,5.0486064,33004,2.21M,0.63,analyst_upgrade,"Nayax Insider Sold Shares Worth $321,608, According to a Recent SEC Filing | A Look At Nayax (TASE:NYAX) Valuation After Recent Share Price Pullback And Premium P/E Ratio | UBS Adjusts Price Target on Nayax to $68 From $55, Maintains Neutral Rating",3,Medium,2504335360,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,62.90,52.38,6.5,27.9,-10.7,48.6,5.4,N/A,N/A,Unknown,Unknown,False,45,45,26,45,50,24,44.5,62.90,57.95,62.90,74.24,75.03,85.09,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.0486064 with RVOL 0.63 and RSI 48.6.,2,"Momentum score 26 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 24 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
24,PARR,"Par Pacific Holdings, Inc. Comm",N/A,61.63,2.84,4.83075,1332957,82.15M,0.96,sector_move,"Par Pacific Refinancing Reshapes Debt Maturities And Investor Risk Reward Profile | Forest Avenue Capital Adds to Par Pacific Stake, According to Recent SEC Filing | 3 Stocks to Own If Gas Prices Keep Rising",2,Low,3090391808,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,61.30,43.80,0.5,40.7,-12.4,39.8,6.7,N/A,N/A,Unknown,Unknown,False,45,45,17,45,50,24,42.5,61.30,51.31,61.30,69.89,70.35,82.28,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 4.83075 with RVOL 0.96 and RSI 39.8.,2,"Momentum score 17 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 24 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
25,RNG,"Ringcentral, Inc.",N/A,42.59,1.91,4.69518,1698515,72.34M,0.83,earnings,"Guidewire Software, 8x8, DoubleVerify, Five9, and RingCentral Shares Skyrocket, What You Need To Know | Asana, Elastic, C3.ai, Palo Alto Networks, and RingCentral Shares Are Soaring, What You Need To Know | 5 Must-Read Analyst Questions From RingCentral’s Q1 Earnings Call",4,High,3571538176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Limited estimate trend data,39.65,32.02,7.4,33.0,-12.3,55.5,7.6,N/A,N/A,Unknown,Unknown,False,45,45,31,45,50,24,45.6,39.65,34.50,39.65,49.06,48.56,58.77,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 4.69518 with RVOL 0.83 and RSI 55.5.,2,"Momentum score 31 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 24 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2224_utc.csv,2026-05-19T22:24:54+00:00
